"z_treatment_effect","z_se"
0.0699735749339373,0.07
0.10487733902215,0.0852051694902427
0.0694728869955645,0.111789182371199
0.167026493233851,0.11930463802418
0.0504561713332052,0.057921625254955
0.14899591176166,0.0608146578619021
0.156222471479769,0.227067545755478
0.11945727407136,0.192816008241342
0.319686990544506,0.0714285714285714
0.189777604369879,0.076530612244898
0.0882664973456018,0.07205428354743
0.119316005491836,0.078780075654874
0.282452791505926,0.07205428354743
0.0772044741417765,0.078780075654874
0.135107829748109,0.078780075654874
0.347181556226033,0.07205428354743
0.21182580115037,0.163
-0.0339755688622755,0.114
-0.00199835661462613,0.085
-0.0739468263473054,0.082
-0.0553822683463298,0.0612882245281316
0.01,0.03
0.03,0.02
0.002,0.019
-0.023,0.014
-0.02,0.055
-0.056,0.059
0.14,0.067
0.079,0.056
0.066,0.02
0.049,0.022
0.14,0.025
0.062,0.023
-0.0043,0.011
9e-04,0.012
0.02,0.024
0.16,0.05
0.05,0.055
0.032,0.022
-0.01,0.047
0.12,0.052
0.15,0.055
0.051,0.054
0.13,0.042
0.12,0.041
0.01,0.024
-0.0026,0.054
0.13,0.041
0.11,0.057
0.049,0.036
-0.042,0.016
0.0799802550390786,0.0459183673469388
0.209584518415825,0.101971099608929
0.181737624360575,0.339036219819672
0.0999556933983164,0.153127917035856
0.22212376310737,0.117093070416854
0.259832990535783,0.05
0.00998452810727179,0.1
0.169890801504166,0.05
0.159897224945098,0.05
0.129916495267892,0.05
0.0499205087440382,0.1
0.139777424483307,0.06
0.0199690562145436,0.07
0.259586645468998,0.1
0.0199690562145436,0.09
0.0299535843218154,0.1
0.079872813990461,0.1
0.0698916967509025,0.09
0.00998410174880763,0.09
0.12,0.07
0.159943866214478,0.05
0.209926324406502,0.09
0.159943866214478,0.06
0.189933341129692,0.06
0.0291856990782954,0.0291152022206183
0.0795468917813322,0.0291152022206183
0.0863122513096166,0.0287194199272854
0.137174861934686,0.0347206082075346
0.140740598192047,0.0287194199272854
0.158076778585592,0.0342486624897886
0.0650807675832868,0.108138677562899
-0.0216930227353678,0.097102101767837
0.10593677957881,0.0603198744932726
0.115679763532301,0.0550856016820483
0.0584450486458166,0.065240984534865
0.0639651611175099,0.0735599352851363
0.194363766426785,0.0462123640455294
-0.00639271212457387,0.0607307651834518
-0.0490470778237099,0.0840807048406455
0.290311371806897,0.0780837482790965
0.512846073569427,0.129017880143252
0.530587430175767,0.127405492352236
0.61304603790999,0.145963342359521
0.54509122718284,0.137079154764915
0.469152243727177,0.100892955640253
0.369483690814611,0.132085957102808
0.325785665453001,0.130742931530481
0.335360429600363,0.0838401074000908
0.347031265913026,0.0803704784537724
0.305286195866647,0.0778582244492119
0.396979915336854,0.175712421542542
0.165917362503153,0.133
0.262789019381337,0.138
0.192940767263427,0.118
0.0938028672089361,0.0856460961472894
0.167627229103998,0.0375105686322946
-0.0128193618326717,0.0283614199837869
0.0763232768535584,0.11523318270047
0.0467131599156867,0.0677340818777457
0.0587848307795222,0.0619996262127773
0.00366419966360906,0.0737537624598233
0.0906310973581591,0.0293410027418501
0.092772015885829,0.0347417837267919
0.0284586675749081,0.0356795235267504
0.0763503770906038,0.0371292929687183
0.053,0.043
0.48,0.03
0.12,0.049
0.15,0.043
-0.062,0.046
0.14,0.049
0.0908902444387207,0.0449626899240381
0.00792249337729041,0.0394825899458407
0.0699196940726578,0.09
-0.0599304213374565,0.09
0.0299654245101806,0.09
0.529391969407266,0.1
0.109875706214689,0.1
0.39953614224971,0.09
0.549378531073446,0.09
0.479446792162889,0.09
0.00968160778402568,0.00468464892775437
0.0143362269109611,0.00485581879242231
0.0199940729032895,0.03
0.002,0.965
0.064,0.505
0.701,0.027
0.0129968995945624,0.016
0.0369916635373639,0.014
0.0159963907060681,0.014
0.242725745061147,0.0506921089194042
-0.00899452887537994,0.057
0.0829008363201912,0.081
0.2872793700032,0.0620262276143273
0.23749843753611,0.0484032141717616
0.138992827086051,0.0764460548973283
0,0.055
0.31007330690358,0.0614183665597476
0.078955809899189,0.0490943176937265
0.0229907543883157,0.047
0.117859020310633,0.076
0.119026099807158,0.092245227350547
0.0399839206753316,0.045
0.058797935417822,0.058797935417822
0.22,0.0874477646457377
0.124791764520626,0.0620854549853862
0.288025882596249,0.0460105243763975
0.177017997705954,0.125931224683797
-0.00404147213995631,0.0210493340622724
0.290981301766333,0.093395347559627
0.0245846795278463,0.0313747338736324
0.371659918012873,0.139205954954642
-0.0123719160522704,0.0283826309434438
0.24705659788624,0.105881399094103
0.154084229932835,0.154084229932835
0.30816845986567,0.154084229932835
0.182886052980723,0.105881399094103
0.0100331409959272,0.110364550955199
0.218399101824456,0.109199550912228
0.134254112262238,0.0671270561311188
-0.0684352177461606,0.0684352177461606
0.218063616977769,0.158591721438378
0.147152734606932,0.110364550955199
0.105801084303039,0.112413652071979
0.0198239651797972,0.158591721438378
0.106975464343041,0.042
0.0969777573950929,0.056
0.0399935369203425,0.041
-0.0359941832283083,0.047
0.118962321899736,0.058
0.0129958839050132,0.066
-0.0399867885060002,0.054
-0.0839722558626005,0.06
0.159953627668824,0.058
0.038984005468216,0.065
0.00799768138344121,0.064
-0.0619745727956254,0.071
0.0689800404975412,0.042
0.0629739633558341,0.062
0.105969337575933,0.042
0.0809665243146439,0.06
0.0789771478160255,0.042
0.118950819672131,0.061
0.0449869829331791,0.018
0.0339859484777518,0.027
0.142958554729012,0.062
-0.0389886967442759,0.063
-0.0809667805878332,0.07
0.0319868762816131,0.07
0.11993678665496,0.0729073587519566
-0.139925040157059,0.0743763945051685
0.122967365348899,0.061
-0.149960201644999,0.064
0.0314519411136754,0.0629038822273508
0.0239696303998129,0.0479392607996257
0.0562029249839565,0.115215996217111
0.163667678080943,0.167007834776473
-0.860563410456345,0.419973270409043
0.438513662870815,0.147459371790974
0.0491449007876723,0.167159526488682
0.121977527148587,0.16989726995696
0.438142612848386,0.157495605267856
0.275955036912344,0.125979473373027
0.132750018585857,0.102579559816344
0.214133569234902,0.100062415530328
0.0329880478087649,0.051
0.274821987100387,0.112
0.0789765879679937,0.03
0.0289894965592177,0.033
0.119804703673102,0.099412413686191
0.156044314378126,0.120230865176589
0.192847278857412,0.124
0.098479309729313,0.122596691703839
-0.159912400836835,0.103
-0.095935754100963,0.11
0.0329880478087649,0.051
-0.0522203877675773,0.0883729639143616
0.12916048572099,0.0883729639143616
0.114049349777754,0.0150708069349175
0.0489346241276663,0.0151059057089752
0.0894488465078677,0.040268088163806
0.0321795788702379,0.00981930764862981
0.171042139054467,0.0863713575026484
0.199657121664637,0.0840532657838746
0.0272130736394182,0.0827170130080897
0.0751743723730546,0.0249
0.102964898330115,0.0224
-0.0166611618775001,0.0793388660833337
0.0887681563551466,0.0758702191069629
