"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Eswatini,1814.57,2062.021,2158.348,2165.691,2225.961,2256.82,2621.249,2829.47,3017.598,3297.463,3632.049,3715.389,3833.256,3966.108,4068.974,4267.964,4416.471,4529.627,4655.474,4816.533,4964.382,5079.639,5336.955,5596.017,5901.65,6393.326,6920.146,7356.577,7506.159,7626.163,7950.179,8239.445,8450.24,8901.401,8995.955,9055.006,8990.193,8738.757,9069.169,9245.313,8955.162,9186.175,9324.208,9484.282,9745.546,10036.872
Ethiopia,306.166,327.239,341.064,370.515,363.099,321.266,348.144,393.41,396.62,397.066,408.798,379.058,341.343,383.009,391.822,411.464,461.755,469.48,442.534,464.469,507.816,541.122,543.399,510.559,570.806,645.952,723.23,809.252,902.944,985.05,1084.803,1214.286,1314.853,1408.012,1680.731,1861.838,2097.913,2321.437,2519.961,2724.122,2771.978,2787.966,3041.938,3317.534,3614.525,3916.092
Fiji,2699.398,3057.58,3129.127,3037.527,3392.294,3315.395,3572.191,3383.728,3620.155,4200.743,4573.585,4563.75,4913.134,5119.619,5452.619,5667.352,6001.554,5915.373,6016.153,6586.631,6572.469,6796.059,7074.701,7213.312,7753.697,7837.245,8171.906,8259.761,8463.687,8368.549,8678.483,9055.823,9659.87,10378.816,11357.905,12400.559,12563.271,13316.586,14039.289,14026.355,11175.268,12665.456,13909.342,14787.474,15586.605,16151.689
Finland,9555.077,10557.911,11497.836,12245.941,13019.837,13838.792,14452.304,15290.223,16610.59,18082.267,18722.981,18129.051,17822.556,18030.851,19059.359,20196.621,21245.373,22911.292,24362.184,25734.871,27766.378,29060.718,29944.754,31043.876,33066.832,34931.571,37303.25,40171.808,41090.987,37876.454,39353.035,41015.786,40969.209,41587.16,41835.88,42569.551,44995.383,47544.07,49335.677,50748.171,49333.928,52174.148,54129.261,56053.41,57856.268,59753.596
France,10769.723,11849.117,12823.733,13413.556,14045.019,14654.305,15228.619,15927.301,17183.322,18532.177,19680.445,20463.961,21164.61,21432.792,22330.456,23203.388,23886.266,24788.801,25885.936,27066.4,28580.487,29581.45,30177.166,30776.093,32282.19,33587.176,35199.203,36784.286,37389.826,36398.563,37361.383,38789.621,39036.959,40951.508,41576.105,42289.109,44421.744,46369.701,48260.687,49798.545,45454.192,49123.748,51286.769,53262.729,55171.382,57034.923
Gabon,8872.132,9122.378,9866.126,10232.522,10881.845,11621.456,11356.607,9633.386,10099.969,11854.75,12653.265,13448.43,12926.395,13429.331,13878.367,14511.346,14939.257,15676.999,16004.699,14423.224,14115.063,14375.325,14273.191,14424.9,14613.772,14585.795,14380.961,15245.128,15232.078,14449.326,14965.594,15762.728,15487.112,15234.598,15499.573,14834.214,14490.228,15302.609,15612.96,16272.69,15853.687,16341.506,17067.946,17886.673,18828.998,19831.515
"Gambia, The",1205.854,1124.798,1390.767,1577.516,1450.57,1490.113,1494.901,1512.895,1530.322,1594.012,1679.181,1703.838,1703.718,1710.773,1631.404,1668.883,1697.889,1675.666,1749.874,1831.041,1914.576,2004.667,1908.265,2011.894,2142.753,2091.546,2078.639,2134.518,2244.498,2341.676,2434.89,2215.751,2199.788,2121.486,2027.031,2066.859,2068.743,2072.652,2209.883,2315.808,2238.94,2354.993,2485.151,2628.322,2769.47,2900.275
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4144.004,2329.363,1724.226,1711.01,1863.207,2174.065,2534.526,2716.932,2897.386,3075.812,3359.021,3640.599,4144.741,4535.09,5151.868,5851.084,6790.772,7136.536,6962.095,7540.893,8322.29,9798.666,10609.666,11583.412,12100.141,12854.714,13595.578,14583.777,15633.818,15142.402,16235.803,17499.779,18849.459,20285.088,21784.631
Germany,11142.727,12187.427,12847.629,13605.804,14553.922,15381.35,16059.256,16695.247,17821.136,19054.156,20505.453,21976.1,22758.511,22942.952,23935.572,24764.928,25374.699,26258.956,27112.314,28030.926,29477.216,30609.034,31007.636,31372.871,32635.943,33946.502,36380.611,38557.944,39797.265,37948.584,40096.555,42541.379,43359.405,44993.528,47011.283,47622.332,50574.374,53254.662,55058.922,56226.224,53571.191,57080.885,59919.576,62151.49,64246.459,66365.721
Ghana,1194.784,1228.88,1171.13,1114.19,1181.947,1270.554,1342.887,1435.067,1547.324,1642.077,1723.795,1824.105,1901.494,1990.677,2054.531,2133.468,2220.566,2332.196,2415.8,2499.12,2456.902,2541.167,2634.774,2752.98,2908.923,3110.258,3312.462,3460.786,3758.32,3908.992,4046.538,4605.212,5120.733,5285.168,5480.807,5143.532,4917.354,5028.024,5357.428,5688.213,5706.513,5979.521,6180.085,6586.386,6845.071,7108.089
Greece,8855.454,9427.698,9839.213,10049.133,10565.871,11120.602,11368.946,11345.913,12212.335,13117.972,13524.527,14202.6,14494.266,14511.108,15032.452,15601.353,16260.93,17216.461,17980.143,18704.72,19820.99,20975.118,22036.428,23686.471,25497.677,26378.062,28621.682,30266.668,30682.6,29496.775,28143.453,26097.872,25190.074,26006.746,26753.925,26810.464,27803.304,29052.564,30401.88,31572.121,29045.1,30984.148,33386.201,35365.894,37032.117,38259.531
Grenada,2160.962,2356.445,2534.321,2638.339,2771.015,2985.341,3261.789,3673.724,3966.81,4329.954,4710.999,4930.88,4963.983,4926.093,5067.041,5242.066,5542.269,5895.912,6654.009,7211.859,7732.862,7725.004,8097.027,9003.64,9161.045,10669.767,10522.057,11430.163,11723.951,10993.39,11024.353,11297.763,11372.409,12141.337,13353.499,14520.188,15438.16,16676.087,17705.637,18476.98,16454.364,17249.373,18369.133,19551.526,20502.007,21373.872
Guatemala,2663.093,2861.068,2857.588,2822.361,2865.697,2865.072,2852.555,2952.37,3097.059,3263.856,3407.395,3544.353,3703.901,3829.785,3955.493,4120.449,4216.886,4366.648,4516.924,4645.821,4758.287,4864.855,5031.769,5136.639,5305.695,5509.869,5858.43,6238.473,6448.655,6397.36,6510.621,6794.129,7017.645,7182.918,7457.752,7849.06,7847.52,7908.46,8192.332,8486.94,8266.744,8608.4,8909.267,9201.353,9489.459,9790.897
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,931.535,935.544,932.054,945.862,954.173,977.727,1006.956,1051.2,1080.83,1119.217,1153.402,1201.322,1262.016,1279.043,1319.128,1372.206,1416.11,1510.609,1562.15,1509.102,1549.721,1628.172,1615.264,1679.892,1673.193,1684.804,1928.237,2252.157,2389.055,2506.308,2515.627,2675.238,2842.625,2971.214,3101.953,3238.635
Guinea-Bissau,562.384,599.93,650.099,639.168,684.285,721.139,713.32,757.133,783.546,821.504,873.593,947.597,977.018,1000.294,1028.787,1068.699,1104.6,1165.397,894.48,1037.5,1049.758,1100.539,1134.548,1128.185,1147.494,1234.159,1277.623,1316.688,1372.52,1385.306,1468.87,1585.903,1512.939,1530.465,1575.757,1873.62,1976.07,2253.422,2333.673,2428.79,2340.166,2410.589,2496.117,2612.804,2737.606,2870.881
Guyana,2471.226,2714.747,2628.048,2424.131,2577.539,2685.356,2754.366,2844.684,2793.859,2794.056,2834.804,3115.937,3433.235,3793.318,4185.479,4464.554,4887.816,5250.837,5198.053,5408.527,5440.329,5676.418,5832.946,5907.054,6164.206,6229.958,6733.923,7380.43,7652.182,7934.583,8355.64,8958.292,10443.668,10998.334,10942.789,11204.623,11268.43,11964.644,12724.596,13604.231,17359.511,19126.404,25132.087,31195.918,32371.47,33282.461
Haiti,1126.992,1224.509,1241.528,1248.36,1273.075,1299.834,1306.044,1308.916,1346.658,1356.009,1372.351,1410.518,1383.116,1319.022,1165.649,1283.244,1336.238,1371.115,1391.85,1425.045,1444.445,1436.103,1430.997,1438.882,1402.405,1448.459,1501.45,1568.069,1586.785,1622.7,1527.769,1621.23,1589.931,1674.512,1719.115,1704.931,1757.384,1763.407,1809.342,1796.99,1728.068,1765.89,1793.737,1824.825,1860.589,1902.182
Honduras,1393.654,1515.639,1539.183,1537.021,1611.715,1680.227,1676.155,1768.151,1859.103,1958.766,1976.702,2050.715,2153.711,2277.084,2231.465,2304.727,2362.307,2451.727,2479.609,2427.922,2591.332,2648.81,2720.276,2824.611,3006.695,3210.348,3443.769,3671.334,3816.843,3674.229,3778.463,3928.268,4032.581,4142.24,4452.583,4823.389,5146.017,5549.407,5790.991,5946.184,5537.869,5837.282,6031.231,6243.621,6480.777,6736.399
Hong Kong SAR,7088.575,8276.236,8903.749,9643.952,10827.648,11107.828,12441.976,14375.951,15938.124,16777.751,17992.265,19447.381,20871.272,22273.057,23643.603,24118.422,25002.62,26525.323,24990.155,25774.284,28057.424,28753.03,29711.695,31011.316,34446.198,37919.637,41411.957,45051.11,46732.859,45717.836,48990.63,51998.781,52082.354,53453.568,54604.905,56266.944,56907.27,59676.476,62233.992,62267.401,58165.2,61274.579,64112.239,66707.443,69470.746,72454.63
Hungary,6339.497,7140.857,7805.322,8187.457,8733.98,9022.725,9380.114,10049.72,10442.14,10976.243,11037.981,10055.883,9969.436,10155.274,10693.298,11209.364,11441.735,12028.175,12663.761,13276.014,14223.729,15160.504,16170.165,17198.96,18559.541,19987.28,21466.89,22121.122,22837.667,21500.061,21932.247,22861.625,23121.003,24458.824,25577.687,26632.944,27654.61,29499.071,31811.031,33991.877,32433.841,34512.275,36604.509,38761.599,40848.604,42816.554
Iceland,10934.214,12349.711,13230.564,13261.34,14134.455,14924.558,16073.006,17735.045,18091.761,18523.615,19298.632,19744.782,19223.355,19735.238,20673.036,20979.647,22304.193,23641.678,25368.483,26451.802,28026.709,29305.193,29635.478,30667.552,33780.101,36657.81,38912.661,42595.027,43195.252,40078.175,39366.339,40839.187,42076.037,44419.207,45955.524,49108.938,53489.462,56376.942,58220.176,58965.051,54482.289,57044.557,58740.698,59911.835,61259.033,63656.536
India,532.628,603.841,648.165,706.068,742.259,787.96,823.719,858.606,953.769,1028.178,1102.555,1128.632,1193.493,1254.835,1340.664,1444.469,1552.269,1612.558,1699.994,1837.018,1918.512,2022.263,2098.764,2269.763,2473.538,2743.708,3041.243,3377.674,3525.323,3799.447,4181.241,4493.667,4861.145,5057.217,5233.869,5464.858,5839.899,6185.993,6652.795,6977.363,6283.57,6917.763,7527.696,8167.98,8854.126,9589.167
Indonesia,1287.674,1487.286,1583.359,1681.128,1837.399,1931.367,2070.946,2217.8,2408.64,2677.547,2969.12,3289.052,3524.978,3832.029,4140.292,4499.951,4884.186,5142.524,4466.18,4514.374,4789.742,5001.799,5234.892,5508.441,5857.781,6294.315,6745.337,7262.468,7842.84,8157.859,8655.818,9213.212,9833.69,10188.332,10398.96,10359.28,10618.699,11073.521,11798.924,12483.041,12345.128,13258.839,14074.207,14935.228,15847.245,16827.481
Iran,6276.039,6045.707,6986.628,7949.893,7143.754,6946.222,6203.508,6388.525,5842.183,6233.752,7452.873,8330.086,8573.731,8758.534,8684.956,8828.199,9410.592,9362.007,9487.738,9494.074,10200.465,10334.088,11399.538,12491.214,13138.072,14029.668,14984.23,16222.034,16319.277,16235.614,17140.33,17796.076,15720.54,15042.907,14704.542,13084.966,13404.133,13923.176,13331.395,12547.468,11963.327,12487.729,12782.323,13083.205,13352.435,13634.075
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6262.834,9600.831,9807.054,10412.237,10637.444,11461.767,11649.144,12215.761,13075.221,14843.033,15414.282,14027.484,10499.136,10017.812,11091.156,11052.343,11449.893,9952.056,10164.85,10398.662,10841.073,10915.565,10948.207
Ireland,7450.472,8257.297,8804.938,9020.818,9577.497,10041.537,10285.369,10905.322,11680.41,12897.29,14426.849,15074.047,15840.076,16499.622,17786.429,19816.317,21863.259,24373.72,26540.343,29287,31957.074,34103.205,36024.51,37430.702,40127.899,42618.674,44821.171,47229.556,45216.996,42975.815,43919.516,44802.655,46166.851,47749.237,51005.532,68860.079,71338.631,78208.611,86444.359,91958.854,89382.792,94971.028,99840.646,104258.026,108229.313,112200.725
Israel,7158.692,8147.714,8619.647,8997.738,9407.05,9959.555,10359.765,11228.073,11840.989,12268.589,13158.408,13400.826,14179.076,14674.48,15635.382,17039.669,17772.395,18354.778,18879.422,19358.786,20964.694,20956.759,20829.317,21064.025,22293.294,23522.92,25181.616,26949.954,27883.78,27718.606,29066.142,30550.761,31706.227,34166.981,34282.169,35487.697,37815.806,38918.094,40451.966,41785.561,39125.805,41142.174,42970.447,44842.345,46724.203,48618.115
Italy,10907.792,11986.95,12737.307,13349.379,14247.251,15076.926,15794.587,16682.621,17962.061,19259.868,20360.541,21333.337,21966.1,22279.815,23218.908,24340.878,25100.675,25986.127,26741.25,27566.109,29242.143,30446.733,30986.186,31494.135,32560.617,33593.016,35077.31,36415.554,36458.871,34554.01,35401.899,36248.529,36105.283,36148.873,36198.738,36869.825,39897.892,41748.232,43166.919,44160.767,40065.5,43139.241,45099.38,46727.327,48078.503,49466.739
Jamaica,2914.522,3272.637,3521.955,3737.086,3899.922,3927.492,4248.821,4655.294,4599.917,4995.182,5340.786,5531.004,5770.913,5988.604,6176.762,6406.95,6478.651,6419.688,6350.922,6443.644,6578.044,6749,6874.839,7233.141,7499.208,7773.979,8212.12,8524.183,8588.398,8329.26,8276.24,8540.977,8593.326,8889.965,9029.714,9325.923,9793.513,10274.454,10724.112,11018.349,10221.324,10831.411,11444.338,11999.16,12539.255,13057.578
Japan,8948.255,10133.069,11037.843,11792.616,12685.33,13685.879,14349.193,15325.864,16871.332,18312.826,19861.487,21150.986,21739.558,22067.903,22699.881,23750.629,24880.752,25521.29,25449.12,25703.066,26956,27593.642,28004.233,28907.065,30316.006,31775.625,33203.641,34656.626,34962.138,33357.59,35148.789,35775.297,37213.903,39008.48,39227.395,40448.256,39981.515,40871.712,42051.736,43193.858,41636.628,43709.322,45411.237,47010.804,48594.862,50071.12
Jordan,3522.455,4289.91,4609.189,4607.177,4835.367,4732.949,4897.217,4963.148,5044.031,4452.101,4450.776,4471.259,4900.108,4900.372,5010.609,5234.384,5202.465,5386.041,5515.584,5653.531,5922.353,6235.364,6656.888,6903.247,7472.464,8092.643,8741.063,9288.438,9663.723,9729.885,9564.54,9511.743,9301.16,9439.23,9295.184,9575.53,9544.298,10089.53,10317.333,10530.381,10006.95,10461.539,10867.461,11321.614,11841.45,12394.712
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7066.408,6625.973,6328.007,5977.906,6194.945,6532.285,6581.22,6881.218,7743.174,8990.017,10016.619,11088.519,12377.866,13868.512,15634.622,17287.464,17737.227,17840.347,19086.347,20634.012,21878.29,24325.775,24545.572,23057.074,23653.798,24699.301,25988.235,27291.514,26589.161,27644.217,28965.125,30781.174,31942.207,33166.332
Kenya,991.164,1088.791,1171.895,1194.773,1216.003,1263.666,1336.238,1398.143,1483.682,1559.342,1638.628,1663.798,1632.979,1621.576,1650.192,1708.786,1757.127,1748.243,1768.259,1775.754,1772.343,1833.556,1823.389,1858.243,1942.097,2059.684,2187.987,2333.44,2319.381,2350.308,2517.379,2664.897,2777.333,3042.797,3327.849,3717.458,4025.189,4475.915,4757.704,4984.57,4993.307,5223.034,5512.571,5808.015,6124.255,6463.37
Kiribati,916.857,986.431,1010.521,1045.987,1088.03,1040.551,1045.548,1049.564,1156.887,1136.368,1134.645,1158.017,1182.972,1206.422,1236.106,1243.179,1258.974,1284.004,1364.188,1336.633,1423.663,1408.424,1460.6,1490.24,1478.3,1571.008,1583.272,1623.532,1585.949,1576.537,1546.488,1582.807,1666.903,1744.314,1740.906,1914.749,2007.248,2036.105,2105.066,2155.185,2125.557,2199.618,2243.614,2289.634,2336.882,2386.189
"Korea, Republic of",2171.776,2510.037,2843.067,3300.581,3734.148,4113.525,4625.428,5290.534,6073.921,6691.993,7553.405,8565.315,9207.381,9971.954,11017.469,12206.532,13283.694,14212.673,13537.337,15199.123,16805.708,17870.016,19442.367,20321.075,21865.914,23468.609,25318.396,27367.743,28523.246,28819.823,30984.877,32546.752,33557.124,34244.314,35324.502,37907.502,39567.016,41001.064,43001.287,44573.058,44292.194,46533.639,48812.931,51116.59,53448.889,55810.018
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4864.564,5521.2,5456.257,5775.449,5749.134,6080.022,6386.747,7001.273,7366.66,7567.449,7785.873,8272.936,8437.68,8793.248,9082.389,9666.188,10028.427,10486.488,11183.379,11791.184,11016.753,11888.196,12497.387,13154.766,13873.67,14652.396
Kuwait,33634.667,28558.155,26249.423,27445.435,29289.812,27227.94,28479.888,29899.496,26451.001,32958.467,24868.499,23753.655,42536.929,56457.219,50652.129,49090.222,47159.959,46524.67,47436.048,47591.453,51806.047,50941.465,50866.511,57766.469,60767.685,63496.523,66100.233,67358.317,69508.439,64277.472,61763.079,66969.827,72735.933,70727.47,64038.479,43308.023,40844.217,46479.257,46273.874,46017.841,41734.723,41768.776,42694.569,43313.205,43988.103,44697.438
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2074.989,1817.116,1481.791,1424.531,1529.412,1686.183,1715.243,1775.752,1887.347,2011.847,2024.365,2187.034,2375.283,2415.085,2539.138,2798.607,3044.745,3121.658,3102.508,3319.628,3654.196,4083.205,4325.505,4259.042,4727.851,5094.365,5296.615,5515.665,4824.284,5300.388,5700.665,6056.769,6293.136,6543.554
Lao P.D.R.,541.172,670.359,728.557,760.214,816.203,894.187,930.03,917.755,904.2,1003.828,1070.581,1118.011,1188.74,1252.641,1347.299,1436.085,1527.087,1624.83,1682.03,1744.281,1866.415,1966.643,2101.277,2238.566,2426.807,2634.43,2909.422,3168.561,3424.299,3643.343,3917.279,4251.549,4841.643,5289.476,5873.755,6168.456,6843.568,7255.165,7776.699,8206.501,8220.886,8678.278,9199.121,9772.09,10388.684,11076.036
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5951.191,5413.924,5739.821,6028.981,6374.842,7135.597,7751.703,8158.602,8872.503,9756.098,10763.991,12000.336,13485.472,15582.845,18139.184,20667.731,20522.866,17972.581,17715.364,19647.394,21181.948,22567.472,23752.734,24723.792,26278.209,28373.887,30546.602,32013.654,30578.822,32945.503,35295.877,37773.697,39916.458,42001.994
Lebanon,6225.29,6837.534,4568.27,5789.879,8614.514,10988.455,10415.532,12425.576,9177.508,5428.593,4742.664,6500.824,6599.037,6849.71,7208.573,7559.866,7826.645,8658.357,9010.866,8936.597,9008.477,9209.838,9231.366,9113.37,9662.104,9954.993,10281.717,11522.573,12818.998,14095.561,14961.727,14669.416,14819.591,14976.781,15029.61,15067.768,15479.82,15987.654,15962.42,15134.477,11562.146,no data,no data,no data,no data,no data
Lesotho,451.408,496.212,542.185,565.612,622.824,648.511,671.692,671.564,729.275,777.279,825.09,881.378,921.17,956.105,999.271,997.954,1074.849,1130.591,1158.481,1192.98,1278.474,1348.279,1390.13,1472.455,1547.161,1643.734,1766.929,1892.216,2076.251,2144.763,2292.575,2457.661,2504.346,2812.698,3048.807,3236.816,3171.347,2888.023,2948.724,3009.771,2886.337,3027.39,3175.405,3311.274,3390.278,3487.425
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1001.658,1014.372,1050.876,747.23,782.703,832.127,898.437,1002.736,1040.213,1059.594,1100.582,1173.808,1262.866,1442.355,1488.94,1390.368,1490.538,1637.039,1654.638,1600.841,1535.718,1580.808,1633.988,1702.452,1783.093,1870.134
Libya,36300.894,30373.419,31264.836,29710.153,27055.9,28237.127,24579.56,20603.003,20338.629,21672.621,24751.999,28916.372,28128.091,27103.234,27671.397,24228.249,24850.585,24717.101,24453.677,24529.814,25549.594,25259.272,25032.111,28390.381,29957.931,34063.334,36718.631,39476.289,32390.973,31237.638,32167.765,11167.411,23665.799,15877.89,8573.419,7671.709,7996.689,10708.893,12798.804,14174.039,4746.044,8454.141,13200.096,14518.239,14693.205,14877.14
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6850.755,7397.751,8209.545,8986.994,9077.468,9704.051,10651.091,11644.21,13217.407,14625.556,16513.353,18567.044,21432.831,22655.742,19663.698,20615.46,22823.938,24645.639,26679.99,28156.224,28823.785,30924.838,33821.011,36239.381,38586.901,38604.76,41288.116,43836.607,46313.369,48569.728,50898.678
Luxembourg,15675.88,17243.816,18484.401,19570.69,21218.486,23070.391,25764.877,27267.599,30356.336,34298.063,37052.632,41058.154,42180.449,44360.662,46363.491,47788.752,48693.066,51806.5,55103.64,59854.779,65409.516,67693.319,70578.918,72368.004,75873.594,79621.634,84834.145,92983.505,92106.778,87018.842,90740.657,93174.539,92685.873,96715.548,102520.811,104975.608,111756.581,113905.411,118003.907,120490.334,112875.123,119760.029,124012.448,127706.139,130818.374,134001.414
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35816.881,39259.437,44032.128,55339.33,58906.966,64865.253,72735.733,75117.183,77694.438,96638.584,118962.051,129400.861,145991.804,142955.859,109014.351,109945.629,120988.483,127837.272,121763.76,58930.534,74013.142,96245.804,120748.396,131483.891,140447.292
Madagascar,1014.914,975.63,990.087,1011.61,1038.895,1055.17,1067.226,1075.139,1117.723,1173.515,1212.975,1141.058,1146.43,1162.87,1151.667,1159.278,1168.872,1194.691,1216.385,1251.887,1295.849,1360.816,1174.411,1274.2,1336.765,1401.926,1478.502,1559.229,1648.503,1550.577,1534.89,1548.329,1530.939,1535.496,1555.829,1546.837,1607.581,1586.398,1655.233,1720.298,1647.154,1693.901,1762.189,1843.459,1929.38,2016.444
Malawi,357.252,360.389,382.382,400.844,422.711,436.298,420.489,411.866,414.177,414.449,437.618,480.586,450.041,502.385,457.086,524.579,576.1,609.443,605.964,619.408,622.489,596.718,594.212,625.85,663.045,692.099,725.927,794.529,847.98,899.693,945.512,983.784,957.191,1026.14,998.44,946.405,956.774,945.343,970.769,1003.658,995.271,1013.501,1067.828,1125.434,1185.083,1247.856
Malaysia,3341.494,3817.222,4186.966,4510.591,4913.427,4867.429,4888.583,5145.297,5714.368,6323.369,6853.696,7644.892,8281.614,9062.957,9837.985,10743.506,11727.81,12482.65,11398.812,11963.808,12960.582,12966.523,13542.852,14251.142,15274.476,16176.88,17364.616,18766.506,19692.636,19206.967,20523.282,21701.738,22963.302,23224.571,24273.001,24074.09,24779.859,25897.244,27475.372,28990.932,27287.377,29686.43,31626.881,33616.281,35642.278,37715.371
Maldives,1601.151,1819.497,2012.851,2106.937,2474.984,2794.493,2981.738,3242.103,3556.71,3937.254,3772.058,3980.786,4215.969,4428.269,4735.885,5095.188,5539.203,6091.581,6625.298,7062.884,7452.91,7711.554,8175.74,10276.797,11019.35,9727.395,12417.892,13469.269,14805.159,13611.169,14526.579,15834.725,16435.788,18250.006,20337.738,21931.337,23409.634,24832.009,26731.285,28273.161,22964.749,26015.548,28902.705,31122.257,33279.595,35354.017
Mali,545.105,569.573,524.211,550.656,572.237,597.602,635.427,656.944,670.981,761.184,849.813,928.633,914.718,946.145,976.955,1000.107,1064.007,1105.231,1121.106,1177.274,1170.949,1342.362,1365.426,1472.535,1488.921,1584.573,1654.325,1701.187,1757.457,1795.24,1851.328,1879.903,1813.609,1863.163,1968.42,2089.697,2252.931,2311.345,2415.904,2508.489,2420.998,2498.453,2616.781,2715.796,2821.517,2932.564
Malta,5859.512,6529.764,6898.763,7091.076,7465.797,7820.068,8064.22,8672.959,9525.505,10499.79,11289.292,12036.9,13164.956,13868.468,14669.568,15866.651,16715.745,17687.729,18361.758,19219.113,19335.774,19395.211,20042.28,21104.181,21563.196,22827.26,23969.685,25749.618,27106.78,26800.415,28401.415,29062.601,30423.681,32560.229,34754.607,37922.113,40126.957,43744.503,45588.888,46924.135,43086.539,45516.902,48412.038,51207.01,54287.29,57560.768
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2121.987,2096.729,2066.765,2125.217,2351.829,2519.584,2510.695,2578.759,2681.293,2765.05,2900.08,2721.122,2791.992,3001.067,3027.007,3000.791,3155.231,3171.635,3240.732,3305.247,3491.018,3690.703,3932.419,3785.762,3804.141,3975.527,4107.807,4236.196,4361.953
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2756.876,2773.795,2809.004,2961.062,2850.808,3107.703,3255.54,3089.036,3120.593,3313.638,3162.599,3114.636,3116.025,3297.612,3447.93,3755.098,4723.986,4625.117,4574.254,4494.218,4548.418,4715.713,4754.599,5098.713,4662.137,4585.9,5158.554,5601.833,5727.328,6036.467,5796.963,5913.299,6133.18,6480.241,6798.42,7071.517
Mauritius,1997.991,2281.605,2524.697,2609.533,2803.326,3065.696,3405.949,3816.247,4190.197,4514.213,4984.092,5323.429,5723.549,6084.36,6381.337,6736.314,7169.269,7611.773,8079.438,8303.861,9095.13,9517.859,9757.762,10457.759,11131.006,11575.68,12406.311,13407.996,14353.133,14902.368,15698.528,16653.244,16963.511,17866.307,18484.03,19225.922,20700.777,21415.336,22736.426,23818.571,20718.624,23277.115,25235.814,26774.955,28244.827,29750.916
